Gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,type,Gene_Symbol
ENSG00000152782,711.3882251,0.139410886,0.124488405,1.119864562,0.262771482,0.492595138,Not significant,PANK1
ENSG00000232936,7.132148625,0.282503032,0.26017366,1.085157578,0.277851869,0.509262743,Not significant,PANK1-AS1
ENSG00000235100,62.55819794,0.667163232,0.205557905,3.237146887,0.001207313,0.00805506,Not significant,
ENSG00000138182,3352.866953,0.002851016,0.108447992,0.026289275,0.97902661,0.99571616,Not significant,KIF20B
ENSG00000283578,2.124068197,-0.033021519,0.192544948,-0.171065528,0.864172241,0.937489079,Not significant,MTND5P42
ENSG00000232229,10.58934937,0.724780758,0.267260676,2.678612537,0.007392789,0.036196781,Not significant,LINC00865
ENSG00000280560,3.97462721,0.451617896,0.233264234,1.935317437,0.052951354,0.166195357,Not significant,
ENSG00000148680,12.62813661,0.812136175,0.267643195,2.995703177,0.002738128,0.015976478,Not significant,HTR7
ENSG00000148688,1356.317403,-0.113407918,0.113282715,-1.001106189,0.316775473,0.54951433,Not significant,RPP30
ENSG00000234043,19.16144504,-0.080256839,0.260564324,-0.30812637,0.757986177,0.879346009,Not significant,NUDT9P1
ENSG00000286981,32.47021706,0.024865732,0.243056226,0.102334628,0.91849107,0.96174064,Not significant,
ENSG00000180628,3006.276063,-0.06363979,0.115383731,-0.551550115,0.581256622,0.768166715,Not significant,PCGF5
ENSG00000165338,455.0229178,0.163623549,0.140294623,1.16628445,0.243499458,0.470455777,Not significant,HECTD2
ENSG00000228701,3.969237863,-0.245955238,0.187267365,-1.384908189,0.166080543,0.369567969,Not significant,TNKS2-DT
ENSG00000107854,2751.082561,0.025436496,0.115220164,0.220764844,0.825275539,0.918313866,Not significant,TNKS2
ENSG00000174721,120.5500067,0.503293884,0.177487522,2.833615346,0.004602469,0.024594312,Not significant,FGFBP3
ENSG00000095564,4747.488557,0.256589233,0.110515623,2.321739443,0.02024697,0.080896343,Not significant,BTAF1
ENSG00000107864,347.0859843,-0.155509384,0.146778875,-1.059469765,0.289385892,0.522091799,Not significant,CPEB3
ENSG00000198060,1452.734083,0.04530909,0.111586152,0.406046571,0.684708382,0.837230162,Not significant,MARCHF5
ENSG00000232709,7.485836592,0.024400652,0.261290664,0.093431246,0.925560968,0.964908122,Not significant,MARK2P9
ENSG00000286795,2.656862508,-0.001553737,0.213839302,-0.007268806,0.994200383,0.999425073,Not significant,
ENSG00000119912,3276.186778,0.175935892,0.10955823,1.605865645,0.108303433,0.277252429,Not significant,IDE
ENSG00000138160,4791.29046,0.032640028,0.102095795,0.319700409,0.74919545,0.87415578,Not significant,KIF11
ENSG00000236493,7.393289385,-0.15198248,0.254991884,-0.595609222,0.551436314,0.748384834,Not significant,EIF2S2P3
ENSG00000152804,4452.462063,0.167718503,0.110151208,1.52261937,0.127853961,0.310585507,Not significant,HHEX
ENSG00000138190,2622.339529,-0.261006966,0.104108231,-2.507058743,0.012174048,0.054296442,Not significant,EXOC6
ENSG00000226425,4.809351552,-0.18808873,0.235128803,-0.801501576,0.422841332,0.647089453,Not significant,CYP26C1-DT
ENSG00000187553,4.659794808,-0.251374433,0.244533405,-1.02830026,0.303808609,0.537489545,Not significant,CYP26C1
ENSG00000285846,4.474374239,0.662490908,0.237083066,2.722969684,0.006469799,0.032487555,Not significant,
ENSG00000138119,22.03214092,0.964740375,0.2574811,3.693117114,0.000221522,0.001863834,Not significant,MYOF
ENSG00000138180,1116.176818,-0.263255149,0.12306073,-2.13919515,0.032419867,0.116052921,Not significant,CEP55
ENSG00000095464,81.21259982,-0.051054726,0.189383095,-0.269596696,0.787470542,0.895989013,Not significant,PDE6C
ENSG00000148690,1069.905537,0.107311577,0.126120968,0.850866819,0.394843338,0.62184443,Not significant,FRA10AC1
ENSG00000176273,806.5953435,0.428516276,0.112993074,3.792150594,0.000149348,0.001313328,Not significant,SLC35G1
ENSG00000180764,18.66090086,0.056283083,0.261017095,0.21572701,0.829200546,0.919919377,Not significant,PIPSL
ENSG00000138193,247.0128178,0.396600855,0.143280743,2.767439193,0.005649858,0.029043053,Not significant,PLCE1
ENSG00000173145,1912.590223,0.363061314,0.112736417,3.220387343,0.001280175,0.008474751,Not significant,NOC3L
ENSG00000108239,180.7764134,0.334103084,0.154542594,2.161478103,0.030658427,0.111396162,Not significant,TBC1D12
ENSG00000119969,950.200891,-0.058328693,0.113959954,-0.511837259,0.608764911,0.786384087,Not significant,HELLS
